suite,config,task_name,status,reward,language,difficulty,category,sdlc_phase,repo,mcp_benefit_score,context_complexity,cross_file_deps,n_input_tokens,n_output_tokens,n_cache_tokens,cache_read_tokens,total_cost_usd,agent_task_seconds,wall_clock_seconds,env_setup_seconds
ccb_codereview,baseline,cr-aspnetcore-001,passed,1.0,csharp,hard,code-review,Testing & QA,dotnet/aspnetcore,0.84,0.9,0.8,707732,236,707728,,,82.3,200.0,18.7
ccb_codereview,baseline,cr-calcom-001,passed,0.8,typescript,hard,code-review,Testing & QA,calcom/cal.com,0.83,0.85,0.8,646626,250,646620,,,74.8,174.2,24.2
ccb_codereview,baseline,cr-ghost-001,passed,1.0,javascript,hard,code-review,Testing & QA,agentic-review-benchmarks/benchmark-pr-mapping,0.82,0.85,0.8,1489153,342,1489147,,,114.3,183.5,0.6
ccb_codereview,sourcegraph_base,cr-aspnetcore-001,passed,1.0,csharp,hard,code-review,Testing & QA,dotnet/aspnetcore,0.84,0.9,0.8,767555,5070,,739955,0.8716984999999996,134.2,307.8,1.1
ccb_codereview,sourcegraph_base,cr-calcom-001,passed,1.0,typescript,hard,code-review,Testing & QA,calcom/cal.com,0.83,0.85,0.8,2348469,248,2348415,,,140.4,294.1,1.2
ccb_codereview,sourcegraph_base,cr-ghost-001,passed,0.94,javascript,hard,code-review,Testing & QA,agentic-review-benchmarks/benchmark-pr-mapping,0.82,0.85,0.8,2329621,342,2329567,,,121.4,256.4,1.4
ccb_codereview,sourcegraph_full,cr-aspnetcore-001,passed,1.0,csharp,hard,code-review,Testing & QA,dotnet/aspnetcore,0.84,0.9,0.8,1759796,444,1759753,,,113.3,222.2,0.8
ccb_codereview,sourcegraph_full,cr-calcom-001,passed,1.0,typescript,hard,code-review,Testing & QA,calcom/cal.com,0.83,0.85,0.8,2760479,474,2760422,,,139.7,235.2,1.1
ccb_codereview,sourcegraph_full,cr-ghost-001,passed,1.0,javascript,hard,code-review,Testing & QA,agentic-review-benchmarks/benchmark-pr-mapping,0.82,0.85,0.8,1920172,319,1920121,,,96.3,169.5,0.9
ccb_crossrepo,baseline,api_upgrade_01,failed,0.0,go,hard,api_upgrade,Implementation (refactoring),"etcd,kubernetes,containerd",0.88,0.95,0.85,6648344,32690,,6562897,4.756316300000001,727.1,794.5,3.8
ccb_crossrepo,baseline,bug_localization_01,passed,0.9333,go,hard,bug_localization,Implementation (bug fix),"numpy,pandas,scikit-learn",0.9,0.95,0.9,654136,10179,,610941,1.2026643,255.8,316.4,1.4
ccb_crossrepo,baseline,cross_file_reasoning_01,failed,0.0,go,hard,cross_file_reasoning,Architecture & Design,"kubernetes,containerd",0.92,0.95,0.95,567202,10934,,525925,1.1572213,253.7,312.8,1.7
ccb_crossrepo,baseline,refactor_rename_01,passed,0.92,go,hard,refactor_rename,Implementation (refactoring),"django,flask,requests",0.87,0.95,0.85,8451897,35035,,8354688,6.303664600000005,1261.6,1420.0,2.1
ccb_crossrepo,baseline,simple_test_01,passed,1.0,go,easy,smoke_test,Testing & QA,kubernetes,0.55,0.5,0.3,38177,27,38174,,,11.5,79.0,4.9
ccb_crossrepo,sourcegraph_base,api_upgrade_01,failed,0.0,go,hard,api_upgrade,Implementation (refactoring),"etcd,kubernetes,containerd",0.88,0.95,0.85,12529848,833,12529677,,,610.9,861.6,189.4
ccb_crossrepo,sourcegraph_base,bug_localization_01,passed,0.9333,go,hard,bug_localization,Implementation (bug fix),"numpy,pandas,scikit-learn",0.9,0.95,0.9,5634681,998,5634581,,,342.8,590.9,188.0
ccb_crossrepo,sourcegraph_base,cross_file_reasoning_01,failed,0.0,go,hard,cross_file_reasoning,Architecture & Design,"kubernetes,containerd",0.92,0.95,0.95,3701017,1035,3700908,,,229.9,481.0,185.9
ccb_crossrepo,sourcegraph_base,refactor_rename_01,passed,1.0,go,hard,refactor_rename,Implementation (refactoring),"django,flask,requests",0.87,0.95,0.85,5629998,16114,,5567036,4.520647750000002,512.2,824.9,183.8
ccb_crossrepo,sourcegraph_base,simple_test_01,passed,1.0,go,easy,smoke_test,Testing & QA,kubernetes,0.55,0.5,0.3,56393,27,56390,,,16.7,260.3,181.6
ccb_crossrepo,sourcegraph_full,api_upgrade_01,failed,0.0,go,hard,api_upgrade,Implementation (refactoring),"etcd,kubernetes,containerd",0.88,0.95,0.85,8737849,1480,8737708,,,544.8,576.8,0.3
ccb_crossrepo,sourcegraph_full,bug_localization_01,passed,0.9333,go,hard,bug_localization,Implementation (bug fix),"numpy,pandas,scikit-learn",0.9,0.95,0.9,8033224,801,8033108,,,402.7,524.5,0.3
ccb_crossrepo,sourcegraph_full,cross_file_reasoning_01,failed,0.0,go,hard,cross_file_reasoning,Architecture & Design,"kubernetes,containerd",0.92,0.95,0.95,655157,8450,,613565,0.9879916999999998,188.8,522.5,1.0
ccb_crossrepo,sourcegraph_full,refactor_rename_01,failed,0.0,go,hard,refactor_rename,Implementation (refactoring),"django,flask,requests",0.87,0.95,0.85,10066905,34580,,9950672,11.344613400000009,1301.7,1428.0,0.7
ccb_crossrepo,sourcegraph_full,simple_test_01,passed,1.0,go,easy,smoke_test,Testing & QA,kubernetes,0.55,0.5,0.3,59722,27,59719,,,7.8,48.7,0.8
ccb_dependeval,baseline,dependency_recognition-java-488d70a0,passed,1.0,java,medium,dependency_recognition,Architecture & Design,ProviGen,0.72,0.65,0.85,217668,37,217655,,,26.3,55.4,1.0
ccb_dependeval,baseline,dependency_recognition-java-a06aa17b,passed,1.0,java,medium,dependency_recognition,Architecture & Design,iceberg,0.72,0.65,0.85,91772,7,91765,,,15.7,44.7,0.7
ccb_dependeval,baseline,dependency_recognition-java-a6bb8222,passed,1.0,java,medium,dependency_recognition,Architecture & Design,iceberg,0.72,0.65,0.85,383956,59,383811,,,42.6,66.4,0.9
ccb_dependeval,baseline,dependency_recognition-java-c7138508,passed,1.0,java,medium,dependency_recognition,Architecture & Design,oracle-r2dbc,0.72,0.65,0.85,343008,53,342991,,,35.1,56.2,0.8
ccb_dependeval,baseline,dependency_recognition-javascript-6940aa7b,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,Next-GraphQL-Blog,0.72,0.65,0.85,101446,11,101439,,,13.7,37.7,1.2
ccb_dependeval,baseline,dependency_recognition-javascript-d52503a0,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,place-to-stay,0.72,0.65,0.85,104114,7,104107,,,16.0,38.2,1.4
ccb_dependeval,baseline,dependency_recognition-javascript-dafb5116,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,cls-rtracer,0.72,0.65,0.85,100616,13,100609,,,14.6,35.0,0.7
